measurement_id,gas_class
G_B10_0001,6
G_B10_0002,2
G_B10_0003,4
G_B10_0004,3
G_B10_0005,4
G_B10_0006,3
G_B10_0007,4
G_B10_0008,3
G_B10_0009,4
G_B10_0010,3
G_B10_0011,4
G_B10_0012,3
G_B10_0013,4
G_B10_0014,3
G_B10_0015,4
G_B10_0016,3
G_B10_0017,4
G_B10_0018,3
G_B10_0019,4
G_B10_0020,3
G_B10_0021,6
G_B10_0022,3
G_B10_0023,4
G_B10_0024,3
G_B10_0025,4
G_B10_0026,3
G_B10_0027,6
G_B10_0028,3
G_B10_0029,4
G_B10_0030,3
G_B10_0031,6
G_B10_0032,3
G_B10_0033,4
G_B10_0034,3
G_B10_0035,4
G_B10_0036,3
G_B10_0037,6
G_B10_0038,3
G_B10_0039,4
G_B10_0040,3
G_B10_0041,6
G_B10_0042,3
G_B10_0043,4
G_B10_0044,3
G_B10_0045,4
G_B10_0046,3
G_B10_0047,4
G_B10_0048,3
G_B10_0049,4
G_B10_0050,3
G_B10_0051,6
G_B10_0052,3
G_B10_0053,4
G_B10_0054,3
G_B10_0055,4
G_B10_0056,3
G_B10_0057,6
G_B10_0058,3
G_B10_0059,4
G_B10_0060,3
G_B10_0061,4
G_B10_0062,3
G_B10_0063,4
G_B10_0064,3
G_B10_0065,4
G_B10_0066,3
G_B10_0067,6
G_B10_0068,3
G_B10_0069,4
G_B10_0070,3
G_B10_0071,4
G_B10_0072,3
G_B10_0073,4
G_B10_0074,3
G_B10_0075,6
G_B10_0076,3
G_B10_0077,6
G_B10_0078,3
G_B10_0079,4
G_B10_0080,3
G_B10_0081,6
G_B10_0082,3
G_B10_0083,4
G_B10_0084,3
G_B10_0085,4
G_B10_0086,3
G_B10_0087,4
G_B10_0088,3
G_B10_0089,6
G_B10_0090,3
G_B10_0091,6
G_B10_0092,3
G_B10_0093,4
G_B10_0094,3
G_B10_0095,4
G_B10_0096,3
G_B10_0097,6
G_B10_0098,3
G_B10_0099,4
G_B10_0100,3
G_B10_0101,4
G_B10_0102,3
G_B10_0103,6
G_B10_0104,3
G_B10_0105,4
G_B10_0106,3
G_B10_0107,4
G_B10_0108,3
G_B10_0109,6
G_B10_0110,3
G_B10_0111,6
G_B10_0112,3
G_B10_0113,4
G_B10_0114,3
G_B10_0115,6
G_B10_0116,3
G_B10_0117,4
G_B10_0118,3
G_B10_0119,4
G_B10_0120,3
G_B10_0121,1
G_B10_0122,6
G_B10_0123,4
G_B10_0124,5
G_B10_0125,4
G_B10_0126,5
G_B10_0127,6
G_B10_0128,5
G_B10_0129,6
G_B10_0130,1
G_B10_0131,6
G_B10_0132,4
G_B10_0133,6
G_B10_0134,1
G_B10_0135,6
G_B10_0136,5
G_B10_0137,6
G_B10_0138,1
G_B10_0139,6
G_B10_0140,5
G_B10_0141,1
G_B10_0142,6
G_B10_0143,6
G_B10_0144,5
G_B10_0145,6
G_B10_0146,5
G_B10_0147,6
G_B10_0148,1
G_B10_0149,6
G_B10_0150,5
G_B10_0151,1
G_B10_0152,2
G_B10_0153,6
G_B10_0154,1
G_B10_0155,6
G_B10_0156,1
G_B10_0157,1
G_B10_0158,2
G_B10_0159,6
G_B10_0160,4
G_B10_0161,6
G_B10_0162,1
G_B10_0163,6
G_B10_0164,4
G_B10_0165,6
G_B10_0166,4
G_B10_0167,6
G_B10_0168,1
G_B10_0169,6
G_B10_0170,4
G_B10_0171,6
G_B10_0172,2
G_B10_0173,6
G_B10_0174,1
G_B10_0175,6
G_B10_0176,2
G_B10_0177,6
G_B10_0178,2
G_B10_0179,6
G_B10_0180,2
G_B10_0181,6
G_B10_0182,2
G_B10_0183,6
G_B10_0184,2
G_B10_0185,6
G_B10_0186,2
G_B10_0187,6
G_B10_0188,2
G_B10_0189,4
G_B10_0190,2
G_B10_0191,6
G_B10_0192,2
G_B10_0193,6
G_B10_0194,2
G_B10_0195,6
G_B10_0196,2
G_B10_0197,6
G_B10_0198,2
G_B10_0199,4
G_B10_0200,2
G_B10_0201,6
G_B10_0202,2
G_B10_0203,4
G_B10_0204,2
G_B10_0205,6
G_B10_0206,2
G_B10_0207,6
G_B10_0208,2
G_B10_0209,6
G_B10_0210,2
G_B10_0211,6
G_B10_0212,2
G_B10_0213,6
G_B10_0214,2
G_B10_0215,4
G_B10_0216,2
G_B10_0217,2
G_B10_0218,2
G_B10_0219,4
G_B10_0220,2
G_B10_0221,6
G_B10_0222,2
G_B10_0223,6
G_B10_0224,2
G_B10_0225,6
G_B10_0226,2
G_B10_0227,4
G_B10_0228,2
G_B10_0229,6
G_B10_0230,2
G_B10_0231,6
G_B10_0232,2
G_B10_0233,6
G_B10_0234,2
G_B10_0235,6
G_B10_0236,2
G_B10_0237,4
G_B10_0238,2
G_B10_0239,6
G_B10_0240,2
G_B10_0241,1
G_B10_0242,3
G_B10_0243,4
G_B10_0244,3
G_B10_0245,4
G_B10_0246,3
G_B10_0247,6
G_B10_0248,3
G_B10_0249,4
G_B10_0250,3
G_B10_0251,4
G_B10_0252,2
G_B10_0253,4
G_B10_0254,3
G_B10_0255,6
G_B10_0256,2
G_B10_0257,6
G_B10_0258,3
G_B10_0259,4
G_B10_0260,2
G_B10_0261,6
G_B10_0262,3
G_B10_0263,4
G_B10_0264,3
G_B10_0265,6
G_B10_0266,3
G_B10_0267,4
G_B10_0268,3
G_B10_0269,4
G_B10_0270,2
G_B10_0271,6
G_B10_0272,3
G_B10_0273,4
G_B10_0274,3
G_B10_0275,4
G_B10_0276,3
G_B10_0277,6
G_B10_0278,2
G_B10_0279,6
G_B10_0280,3
G_B10_0281,6
G_B10_0282,3
G_B10_0283,4
G_B10_0284,2
G_B10_0285,4
G_B10_0286,3
G_B10_0287,4
G_B10_0288,3
G_B10_0289,4
G_B10_0290,2
G_B10_0291,6
G_B10_0292,2
G_B10_0293,4
G_B10_0294,3
G_B10_0295,4
G_B10_0296,3
G_B10_0297,4
G_B10_0298,2
G_B10_0299,4
G_B10_0300,3
G_B10_0301,4
G_B10_0302,2
G_B10_0303,4
G_B10_0304,3
G_B10_0305,4
G_B10_0306,2
G_B10_0307,6
G_B10_0308,3
G_B10_0309,4
G_B10_0310,3
G_B10_0311,4
G_B10_0312,3
G_B10_0313,4
G_B10_0314,3
G_B10_0315,4
G_B10_0316,2
G_B10_0317,4
G_B10_0318,3
G_B10_0319,4
G_B10_0320,2
G_B10_0321,6
G_B10_0322,3
G_B10_0323,4
G_B10_0324,3
G_B10_0325,4
G_B10_0326,3
G_B10_0327,4
G_B10_0328,3
G_B10_0329,6
G_B10_0330,2
G_B10_0331,4
G_B10_0332,3
G_B10_0333,4
G_B10_0334,3
G_B10_0335,4
